algorithm,noise_level,problem,circuit_depth,relative_performance
QAOA,0.0,Max-cut,2,0.999936086754317
QAOA,0.0,Max-cut,4,1.1052585725347153
QAOA,0.0,Max-cut,6,1.0827480810453785
QAOA,0.0,Max-cut,8,1.075071018503572
QAOA,0.0,Max-cut,10,1.0660781605425163
QAOA,0.0,Max-cut,12,1.0534766689791466
QAOA,0.0,Max-cut,14,1.0491034983879828
QAOA,0.0,Max-cut,16,1.0383607685691223
QAOA,0.0,Max-cut,18,1.0387441707668317
QAOA,0.0,Partition,14,1.0341685403346086
QAOA,0.0,Partition,30,1.0126411843975551
QAOA,0.25,Max-cut,2,0.9962181769155177
QAOA,0.25,Max-cut,4,1.096514535328256
QAOA,0.25,Max-cut,6,1.0701261953332661
QAOA,0.25,Max-cut,8,1.0575863896460604
QAOA,0.25,Max-cut,10,1.0507198040971535
QAOA,0.25,Max-cut,12,1.0442536288266129
QAOA,0.25,Max-cut,14,1.040816622106113
QAOA,0.25,Max-cut,16,1.0369703544541644
QAOA,0.25,Max-cut,18,1.0251481384572183
QAOA,0.25,Partition,14,1.0176726630994697
QAOA,0.25,Partition,30,0.9934935010234173
QAOA,0.5,Max-cut,2,0.9928243229959297
QAOA,0.5,Max-cut,4,1.0816607150244575
QAOA,0.5,Max-cut,6,1.059365753411447
QAOA,0.5,Max-cut,8,1.0446975544579329
QAOA,0.5,Max-cut,10,1.0437744641219748
QAOA,0.5,Max-cut,12,1.028506877372603
QAOA,0.5,Max-cut,14,1.030771753194835
QAOA,0.5,Max-cut,16,1.022494472439937
QAOA,0.5,Max-cut,18,1.0068344758270125
QAOA,0.5,Partition,14,1.0087350546519263
QAOA,0.5,Partition,30,0.9792892791191409
QAOA,1.0,Max-cut,2,0.985335063345731
QAOA,1.0,Max-cut,4,1.0657791772309535
QAOA,1.0,Max-cut,6,1.0378091922815624
QAOA,1.0,Max-cut,8,1.0308024392397837
QAOA,1.0,Max-cut,10,1.0215610009178444
QAOA,1.0,Max-cut,12,1.0094113397076976
QAOA,1.0,Max-cut,14,1.0115610445906438
QAOA,1.0,Max-cut,16,1.0119384762695303
QAOA,1.0,Max-cut,18,1.003503979598369
QAOA,1.0,Partition,14,0.9912901843735827
QAOA,1.0,Partition,30,0.9492394219667092
QAOA,2.0,Max-cut,2,0.972059634593902
QAOA,2.0,Max-cut,4,1.0372532685460365
QAOA,2.0,Max-cut,6,1.0120238440864577
QAOA,2.0,Max-cut,8,0.9993533814006341
QAOA,2.0,Max-cut,10,0.9896667333897592
QAOA,2.0,Max-cut,12,0.9551660772968378
QAOA,2.0,Max-cut,14,0.9455051267776899
QAOA,2.0,Max-cut,16,0.9440650413942889
QAOA,2.0,Max-cut,18,0.9462580035785235
QAOA,2.0,Partition,14,0.9384471320817346
QAOA,2.0,Partition,30,0.921085330750533
QAOA,4.0,Max-cut,2,0.9483745405365531
QAOA,4.0,Max-cut,4,0.9866967255870088
QAOA,4.0,Max-cut,6,0.9232261240838474
QAOA,4.0,Max-cut,8,0.9170131447680817
QAOA,4.0,Max-cut,10,0.9675658045737225
QAOA,4.0,Max-cut,12,0.9762568579737155
QAOA,4.0,Max-cut,14,0.9672477629577163
QAOA,4.0,Max-cut,16,0.9570049257468687
QAOA,4.0,Max-cut,18,0.942950776633144
QAOA,4.0,Partition,14,0.9584663499110694
QAOA,4.0,Partition,30,0.8871569781466125
WSQAOA,0.0,Max-cut,2,1.0003439303080917
WSQAOA,0.0,Max-cut,4,0.9874714235392931
WSQAOA,0.0,Max-cut,6,0.9899013633636549
WSQAOA,0.0,Max-cut,8,0.9867186732248916
WSQAOA,0.0,Max-cut,10,0.9921709851478454
WSQAOA,0.0,Max-cut,12,0.9877457438699476
WSQAOA,0.0,Max-cut,14,0.9909518863802395
WSQAOA,0.0,Max-cut,16,0.9899204594192341
WSQAOA,0.0,Max-cut,18,0.9773906861456952
WSQAOA,0.0,Partition,14,1.0039706152281789
WSQAOA,0.0,Partition,30,1.0032859502397953
WSQAOA,0.25,Max-cut,2,0.9944125340591916
WSQAOA,0.25,Max-cut,4,0.9803249027181323
WSQAOA,0.25,Max-cut,6,0.9716937091931719
WSQAOA,0.25,Max-cut,8,0.96587948972863
WSQAOA,0.25,Max-cut,10,0.9711202194811088
WSQAOA,0.25,Max-cut,12,0.9701856613036546
WSQAOA,0.25,Max-cut,14,0.9690900017565859
WSQAOA,0.25,Max-cut,16,0.9801700383248069
WSQAOA,0.25,Max-cut,18,0.9938464322483028
WSQAOA,0.25,Partition,14,0.981986477990525
WSQAOA,0.25,Partition,30,0.9764306388811597
WSQAOA,0.5,Max-cut,2,0.9935246683174327
WSQAOA,0.5,Max-cut,4,0.9715662906618318
WSQAOA,0.5,Max-cut,6,0.9696195797188024
WSQAOA,0.5,Max-cut,8,0.9668840329146282
WSQAOA,0.5,Max-cut,10,0.9664429748887126
WSQAOA,0.5,Max-cut,12,0.9668299162281614
WSQAOA,0.5,Max-cut,14,0.9571117647042001
