algorithm,noise_level,problem,circuit_depth,relative_performance
QAOA,0.0,Max-cut,6.0976270078546495,1.090626497761151
QAOA,0.0,Max-cut,6.430378732744839,1.0538156969955124
QAOA,0.0,Max-cut,6.205526752143288,1.0626488015683258
QAOA,0.0,Max-cut,6.0897663659937935,1.068947688424203
QAOA,0.0,Max-cut,5.84730959867781,1.0739143951715664
QAOA,0.0,Max-cut,6.2917882261333125,1.0802491539276091
QAOA,0.0,Max-cut,5.875174422525385,1.0770974720824922
QAOA,0.0,Max-cut,6.78354600156416,1.084974841454663
QAOA,0.0,Max-cut,6.927325521002059,1.072390523259304
QAOA,0.0,Max-cut,5.766883037651556,1.0821780551457625
QAOA,0.0,Max-cut,6.583450076165329,1.0509046210695512
QAOA,0.0,Max-cut,6.0577898395058085,1.0631295444619882
QAOA,0.0,Max-cut,6.136089122187864,1.0862501824929582
QAOA,0.0,Max-cut,6.851193276585322,1.0774485327696346
QAOA,0.0,Max-cut,5.142072116395774,1.0640515524939393
QAOA,0.0,Max-cut,5.174258599403082,1.0763955349357217
QAOA,0.0,Max-cut,5.040436794880652,1.0852560363143153
QAOA,0.0,Max-cut,6.665239691095876,1.0656176728994058
QAOA,0.0,Max-cut,6.556313501899701,1.056555081143343
QAOA,0.0,Max-cut,6.7400242964936385,1.0656755831485998
QAOA,0.0,Max-cut,6.957236684465528,1.0646973278951333
QAOA,0.0,Max-cut,6.598317128433447,1.060265911268833
QAOA,0.0,Max-cut,5.922958724505864,1.0527802178971897
QAOA,0.0,Max-cut,6.5610583525729105,1.0691031924086845
QAOA,0.0,Max-cut,5.236548851737867,1.0625657712893142
QAOA,0.0,Max-cut,6.279842042655048,1.0796066764349368
QAOA,0.0,Max-cut,5.286706574818092,1.0545312532138027
QAOA,0.0,Max-cut,6.889337834099168,1.0587966305704222
QAOA,0.0,Max-cut,6.043696643500144,1.0569585040596228
QAOA,0.0,Max-cut,5.829323879981047,1.0575588911241578
QAOA,0.0,Max-cut,5.529111224209254,1.0536660807209475
QAOA,0.0,Max-cut,6.548467378868433,1.0705292877803165
QAOA,0.0,Max-cut,5.912300664433097,1.0574396614122636
QAOA,0.0,Max-cut,6.136867897737297,1.088236158786387
QAOA,0.0,Max-cut,5.037579600872711,1.0802254797609327
QAOA,0.0,Max-cut,6.235270994151755,1.0891719161156947
QAOA,0.0,Max-cut,6.224191445444843,1.0807971708596245
QAOA,0.0,Max-cut,6.233867993749514,1.0658389723242763
