problem,algorithm,n_qaoa_layers,n_qubits,noise_level,performance
Max-cut,QAOA,1,5,0.0,0.8341100154678233
Max-cut,QAOA,1,5,1.0,0.8160774737252966
Max-cut,QAOA,1,5,2.0,0.7992113984665997
Max-cut,QAOA,1,5,3.0,0.7836620601910762
Max-cut,QAOA,1,5,4.0,0.7640182910591671
Max-cut,QAOA,2,5,0.0,0.8933933722652238
Max-cut,QAOA,2,5,1.0,0.8436501830158497
Max-cut,QAOA,2,5,2.0,0.8045884507394985
Max-cut,QAOA,2,5,3.0,0.7599878103198912
Max-cut,QAOA,2,5,4.0,0.7174148223145488
Max-cut,QAOA,3,5,0.0,0.9144410369808699
Max-cut,QAOA,3,5,1.0,0.8403620554128081
Max-cut,QAOA,3,5,2.0,0.7819789894510252
Max-cut,QAOA,3,5,3.0,0.7184016049362337
Max-cut,QAOA,3,5,4.0,0.6547661477020067
Max-cut,QAOA,1,6,0.0,0.8100798104245039
Max-cut,QAOA,1,6,1.0,0.7898657493344722
Max-cut,QAOA,1,6,2.0,0.7724365033722281
Max-cut,QAOA,1,6,3.0,0.7553175134808341
Max-cut,QAOA,1,6,4.0,0.7143512732938209
Max-cut,QAOA,2,6,0.0,0.8685687075280414
Max-cut,QAOA,2,6,1.0,0.8123623655275471
Max-cut,QAOA,2,6,2.0,0.7694304778586573
Max-cut,QAOA,2,6,3.0,0.7194385607513217
Max-cut,QAOA,2,6,4.0,0.6737285556790534
Max-cut,QAOA,3,6,0.0,0.8958308402449018
Max-cut,QAOA,3,6,1.0,0.8142283111497
Max-cut,QAOA,3,6,2.0,0.7355896249406199
Max-cut,QAOA,3,6,3.0,0.6683505506873305
Max-cut,QAOA,3,6,4.0,0.6224982513895031
Max-cut,QAOA,1,7,0.0,0.8181434271415406
Max-cut,QAOA,1,7,1.0,0.7960750078887571
Max-cut,QAOA,1,7,2.0,0.7787476881406984
Max-cut,QAOA,1,7,3.0,0.7574672557595088
Max-cut,QAOA,1,7,4.0,0.7063297458922762
Max-cut,QAOA,2,7,0.0,0.8688575724893904
Max-cut,QAOA,2,7,1.0,0.8115601346950007
Max-cut,QAOA,2,7,2.0,0.7653176196415834
Max-cut,QAOA,2,7,3.0,0.7091866537660717
Max-cut,QAOA,2,7,4.0,0.6701401966488086
Max-cut,QAOA,3,7,0.0,0.8912610053813252
Max-cut,QAOA,3,7,1.0,0.8119365089440886
Max-cut,QAOA,3,7,2.0,0.7173332427080329
Max-cut,QAOA,3,7,3.0,0.6553232925873664
Max-cut,QAOA,3,7,4.0,0.6287903321171681
Max-cut,QAOA,1,8,0.0,0.8109722150857185
Max-cut,QAOA,1,8,1.0,0.788316664514116
Max-cut,QAOA,1,8,2.0,0.7684021007007991
Max-cut,QAOA,1,8,3.0,0.7457338862615351
Max-cut,QAOA,1,8,4.0,0.6790870080777637
Max-cut,QAOA,2,8,0.0,0.8581010305937218
Max-cut,QAOA,2,8,1.0,0.7991627744782407
Max-cut,QAOA,2,8,2.0,0.7482717939165474
Max-cut,QAOA,2,8,3.0,0.6968151504642006
Max-cut,QAOA,2,8,4.0,0.6559309812729982
Max-cut,QAOA,3,8,0.0,0.886122388677879
Max-cut,QAOA,3,8,1.0,0.7939833578307511
Max-cut,QAOA,3,8,2.0,0.6912300529166119
Max-cut,QAOA,3,8,3.0,0.6460528192875046
Max-cut,QAOA,3,8,4.0,0.624465398297398
Max-cut,QAOA,1,9,0.0,0.8088893802271271
Max-cut,QAOA,1,9,1.0,0.7850338832421637
